번호,장수명,장수ID,초상화 파일,전신 파일
0120,"손책","sunce",resources/officers/portraits/0120.png,resources/officers/fullbody/0120.png
0121,"손권","sunquan",resources/officers/portraits/0121.png,resources/officers/fullbody/0121.png
0122,"주유","zhouyu",resources/officers/portraits/0122.png,resources/officers/fullbody/0122.png
0123,"노숙","lusu",resources/officers/portraits/0123.png,resources/officers/fullbody/0123.png
0124,"여몽","lvmeng",resources/officers/portraits/0124.png,resources/officers/fullbody/0124.png
0125,"육손","luxun",resources/officers/portraits/0125.png,resources/officers/fullbody/0125.png
0126,"정보","chengpu",resources/officers/portraits/0126.png,resources/officers/fullbody/0126.png
0127,"황개","huanggai",resources/officers/portraits/0127.png,resources/officers/fullbody/0127.png
0128,"한당","handang",resources/officers/portraits/0128.png,resources/officers/fullbody/0128.png
0129,"조무","zumao",resources/officers/portraits/0129.png,resources/officers/fullbody/0129.png
0130,"태사자","taishici",resources/officers/portraits/0130.png,resources/officers/fullbody/0130.png
0131,"감녕","ganning",resources/officers/portraits/0131.png,resources/officers/fullbody/0131.png
0132,"주태","zhoutai",resources/officers/portraits/0132.png,resources/officers/fullbody/0132.png
0133,"장흠","jiangqin",resources/officers/portraits/0133.png,resources/officers/fullbody/0133.png
0134,"능조","lingcao",resources/officers/portraits/0134.png,resources/officers/fullbody/0134.png
0135,"능통","lingtong",resources/officers/portraits/0135.png,resources/officers/fullbody/0135.png
0136,"서성","xusheng",resources/officers/portraits/0136.png,resources/officers/fullbody/0136.png
0137,"정봉","dingfeng",resources/officers/portraits/0137.png,resources/officers/fullbody/0137.png
0138,"동습","dongxi",resources/officers/portraits/0138.png,resources/officers/fullbody/0138.png
0139,"진무","chenwu",resources/officers/portraits/0139.png,resources/officers/fullbody/0139.png
0140,"반장","panzhang",resources/officers/portraits/0140.png,resources/officers/fullbody/0140.png
0141,"주연","zhuran",resources/officers/portraits/0141.png,resources/officers/fullbody/0141.png
0142,"주환","zhuhuan",resources/officers/portraits/0142.png,resources/officers/fullbody/0142.png
0143,"전종","qu ancong",resources/officers/portraits/0143.png,resources/officers/fullbody/0143.png
0144,"하제","heqi",resources/officers/portraits/0144.png,resources/officers/fullbody/0144.png
0145,"보즐","buzhi",resources/officers/portraits/0145.png,resources/officers/fullbody/0145.png
0146,"장소","zhangzhao",resources/officers/portraits/0146.png,resources/officers/fullbody/0146.png
0147,"장굉","zhanghong",resources/officers/portraits/0147.png,resources/officers/fullbody/0147.png
0148,"고옹","guyong",resources/officers/portraits/0148.png,resources/officers/fullbody/0148.png
0149,"감택","kanze",resources/officers/portraits/0149.png,resources/officers/fullbody/0149.png
0150,"우번","yufan",resources/officers/portraits/0150.png,resources/officers/fullbody/0150.png
0151,"제갈근","zhugejin",resources/officers/portraits/0151.png,resources/officers/fullbody/0151.png
0152,"여범","lufan",resources/officers/portraits/0152.png,resources/officers/fullbody/0152.png
0153,"마등","mateng",resources/officers/portraits/0153.png,resources/officers/fullbody/0153.png
0154,"한수","hansui",resources/officers/portraits/0154.png,resources/officers/fullbody/0154.png
0155,"마철","matie",resources/officers/portraits/0155.png,resources/officers/fullbody/0155.png
0156,"마휴","maxiu",resources/officers/portraits/0156.png,resources/officers/fullbody/0156.png
0157,"공손도","gongsundu",resources/officers/portraits/0157.png,resources/officers/fullbody/0157.png
0158,"공손강","gongsunkang",resources/officers/portraits/0158.png,resources/officers/fullbody/0158.png
0159,"공손공","gongsungong",resources/officers/portraits/0159.png,resources/officers/fullbody/0159.png
0160,"공손연","gongsunyuan",resources/officers/portraits/0160.png,resources/officers/fullbody/0160.png
0161,"하진","hej in",resources/officers/portraits/0161.png,resources/officers/fullbody/0161.png
0162,"황보숭","huangfusong",resources/officers/portraits/0162.png,resources/officers/fullbody/0162.png
0163,"주준","zhujun",resources/officers/portraits/0163.png,resources/officers/fullbody/0163.png
0164,"노식","luzhi",resources/officers/portraits/0164.png,resources/officers/fullbody/0164.png
0165,"왕윤","wangyun",resources/officers/portraits/0165.png,resources/officers/fullbody/0165.png
0166,"채옹","caiyong",resources/officers/portraits/0166.png,resources/officers/fullbody/0166.png
0167,"채염","caiyan",resources/officers/portraits/0167.png,resources/officers/fullbody/0167.png
0168,"정원","dingyuan",resources/officers/portraits/0168.png,resources/officers/fullbody/0168.png
0169,"교모","qiaomao",resources/officers/portraits/0169.png,resources/officers/fullbody/0169.png
0170,"포신","baoxin",resources/officers/portraits/0170.png,resources/officers/fullbody/0170.png
0171,"왕광","wangkuang",resources/officers/portraits/0171.png,resources/officers/fullbody/0171.png
0172,"유대","liudai",resources/officers/portraits/0172.png,resources/officers/fullbody/0172.png
0173,"원술","yuanshu",resources/officers/portraits/0173.png,resources/officers/fullbody/0173.png
0174,"기령","ji ling",resources/officers/portraits/0174.png,resources/officers/fullbody/0174.png
0175,"뇌박","leibo",resources/officers/portraits/0175.png,resources/officers/fullbody/0175.png
0176,"진란","chenlan",resources/officers/portraits/0176.png,resources/officers/fullbody/0176.png
0177,"장각","zhangjiao",resources/officers/portraits/0177.png,resources/officers/fullbody/0177.png
0178,"장보","zhangbao",resources/officers/portraits/0178.png,resources/officers/fullbody/0178.png
0179,"장량","zhangliang_yellow",resources/officers/portraits/0179.png,resources/officers/fullbody/0179.png
0180,"파재","bocai",resources/officers/portraits/0180.png,resources/officers/fullbody/0180.png
0181,"하의","heyi",resources/officers/portraits/0181.png,resources/officers/fullbody/0181.png
0182,"황소","huangshao",resources/officers/portraits/0182.png,resources/officers/fullbody/0182.png
0183,"공도","gongdu",resources/officers/portraits/0183.png,resources/officers/fullbody/0183.png
0184,"유벽","liupi",resources/officers/portraits/0184.png,resources/officers/fullbody/0184.png
0185,"사섭","shixie",resources/officers/portraits/0185.png,resources/officers/fullbody/0185.png
0186,"사일","shiyi",resources/officers/portraits/0186.png,resources/officers/fullbody/0186.png
0187,"사무","shiwu",resources/officers/portraits/0187.png,resources/officers/fullbody/0187.png
0188,"맹획","menghuo",resources/officers/portraits/0188.png,resources/officers/fullbody/0188.png
0189,"축융","zhurong",resources/officers/portraits/0189.png,resources/officers/fullbody/0189.png
0190,"맹우","mengyou",resources/officers/portraits/0190.png,resources/officers/fullbody/0190.png
0191,"사마가","shamoke",resources/officers/portraits/0191.png,resources/officers/fullbody/0191.png
0192,"고국천왕","gogukcheon",resources/officers/portraits/0192.png,resources/officers/fullbody/0192.png
0193,"산상왕","sansang",resources/officers/portraits/0193.png,resources/officers/fullbody/0193.png
0194,"동천왕","dongcheon",resources/officers/portraits/0194.png,resources/officers/fullbody/0194.png
0195,"발기","balgi",resources/officers/portraits/0195.png,resources/officers/fullbody/0195.png
0196,"계수","gyesu",resources/officers/portraits/0196.png,resources/officers/fullbody/0196.png
0197,"을파소","eulpaso",resources/officers/portraits/0197.png,resources/officers/fullbody/0197.png
0198,"안류","anryu",resources/officers/portraits/0198.png,resources/officers/fullbody/0198.png
0199,"좌가려","jwagaryeo",resources/officers/portraits/0199.png,resources/officers/fullbody/0199.png
0200,"어비류","eobiryu",resources/officers/portraits/0200.png,resources/officers/fullbody/0200.png
0201,"고우루","gouru",resources/officers/portraits/0201.png,resources/officers/fullbody/0201.png
0202,"위구태","wigutae",resources/officers/portraits/0202.png,resources/officers/fullbody/0202.png
0203,"간위거","ganwigeo",resources/officers/portraits/0203.png,resources/officers/fullbody/0203.png
0204,"마여","mayeo",resources/officers/portraits/0204.png,resources/officers/fullbody/0204.png
0205,"초고왕","chogo",resources/officers/portraits/0205.png,resources/officers/fullbody/0205.png
0206,"진과","jinga_baekje",resources/officers/portraits/0206.png,resources/officers/fullbody/0206.png
0207,"구수왕","gusu",resources/officers/portraits/0207.png,resources/officers/fullbody/0207.png
0208,"벌휴이사금","beolhyu",resources/officers/portraits/0208.png,resources/officers/fullbody/0208.png
0209,"내해이사금","naehae",resources/officers/portraits/0209.png,resources/officers/fullbody/0209.png
0210,"내음","naeum",resources/officers/portraits/0210.png,resources/officers/fullbody/0210.png
0211,"우로","uro_silla",resources/officers/portraits/0211.png,resources/officers/fullbody/0211.png
0212,"물계자","mulgyeja",resources/officers/portraits/0212.png,resources/officers/fullbody/0212.png
0213,"설부","seolbu",resources/officers/portraits/0213.png,resources/officers/fullbody/0213.png
0214,"수로왕","suro_gaya",resources/officers/portraits/0214.png,resources/officers/fullbody/0214.png
0215,"거등왕","geodeung",resources/officers/portraits/0215.png,resources/officers/fullbody/0215.png
0216,"초선","diaochan",resources/officers/portraits/0216.png,resources/officers/fullbody/0216.png
0217,"대교","daqiao",resources/officers/portraits/0217.png,resources/officers/fullbody/0217.png
0218,"소교","xiaoqiao",resources/officers/portraits/0218.png,resources/officers/fullbody/0218.png
0219,"손상향","sunshangxiang",resources/officers/portraits/0219.png,resources/officers/fullbody/0219.png
0220,"견씨","zhenji",resources/officers/portraits/0220.png,resources/officers/fullbody/0220.png
0221,"황월영","huangyueying",resources/officers/portraits/0221.png,resources/officers/fullbody/0221.png
0222,"감부인","ganfuren",resources/officers/portraits/0222.png,resources/officers/fullbody/0222.png
0223,"미부인","mifuren",resources/officers/portraits/0223.png,resources/officers/fullbody/0223.png
0224,"변부인","bianfuren",resources/officers/portraits/0224.png,resources/officers/fullbody/0224.png
0225,"오국태","wuguotai",resources/officers/portraits/0225.png,resources/officers/fullbody/0225.png
0226,"하태후","empresshe",resources/officers/portraits/0226.png,resources/officers/fullbody/0226.png
0227,"복수","fushou",resources/officers/portraits/0227.png,resources/officers/fullbody/0227.png
0228,"동백","dongbai",resources/officers/portraits/0228.png,resources/officers/fullbody/0228.png
0229,"곽여왕","guonuwang",resources/officers/portraits/0229.png,resources/officers/fullbody/0229.png
0230,"조절","caojie_f",resources/officers/portraits/0230.png,resources/officers/fullbody/0230.png
0231,"조화","caohua_f",resources/officers/portraits/0231.png,resources/officers/fullbody/0231.png
0232,"신헌영","xinxianying",resources/officers/portraits/0232.png,resources/officers/fullbody/0232.png
0233,"장춘화","zhangchunhua",resources/officers/portraits/0233.png,resources/officers/fullbody/0233.png
0234,"왕원희","wangyuanji",resources/officers/portraits/0234.png,resources/officers/fullbody/0234.png
0235,"보연사","bulianshi",resources/officers/portraits/0235.png,resources/officers/fullbody/0235.png
0236,"손노반","sunluban",resources/officers/portraits/0236.png,resources/officers/fullbody/0236.png
0237,"손노육","sunluyu",resources/officers/portraits/0237.png,resources/officers/fullbody/0237.png
0238,"반숙","panshu",resources/officers/portraits/0238.png,resources/officers/fullbody/0238.png
0239,"마운록","mayunlu",resources/officers/portraits/0239.png,resources/officers/fullbody/0239.png
0240,"여령기","lulingqi",resources/officers/portraits/0240.png,resources/officers/fullbody/0240.png
0241,"관은병","guanyinping",resources/officers/portraits/0241.png,resources/officers/fullbody/0241.png
0242,"포삼랑","baosanniang",resources/officers/portraits/0242.png,resources/officers/fullbody/0242.png
0243,"화만","huaman",resources/officers/portraits/0243.png,resources/officers/fullbody/0243.png
0244,"유선","liushan",resources/officers/portraits/0244.png,resources/officers/fullbody/0244.png
0245,"관흥","guanxing",resources/officers/portraits/0245.png,resources/officers/fullbody/0245.png
0246,"장포","zhangbao_shu",resources/officers/portraits/0246.png,resources/officers/fullbody/0246.png
0247,"간옹","jianyong",resources/officers/portraits/0247.png,resources/officers/fullbody/0247.png
0248,"손건","sunqian",resources/officers/portraits/0248.png,resources/officers/fullbody/0248.png
0249,"미축","mizhu",resources/officers/portraits/0249.png,resources/officers/fullbody/0249.png
0250,"미방","mifang",resources/officers/portraits/0250.png,resources/officers/fullbody/0250.png
0251,"이적","yiji",resources/officers/portraits/0251.png,resources/officers/fullbody/0251.png
0252,"유파","liuba",resources/officers/portraits/0252.png,resources/officers/fullbody/0252.png
0253,"황권","huangquan",resources/officers/portraits/0253.png,resources/officers/fullbody/0253.png
0254,"초주","qiaozhou",resources/officers/portraits/0254.png,resources/officers/fullbody/0254.png
0255,"동화","donghe",resources/officers/portraits/0255.png,resources/officers/fullbody/0255.png
0256,"마충","mazhong_shu",resources/officers/portraits/0256.png,resources/officers/fullbody/0256.png
0257,"이회","lihui",resources/officers/portraits/0257.png,resources/officers/fullbody/0257.png
0258,"진진","chenzhen_shu",resources/officers/portraits/0258.png,resources/officers/fullbody/0258.png
0259,"양홍","yanghong_shu",resources/officers/portraits/0259.png,resources/officers/fullbody/0259.png
0260,"왕련","wanglian",resources/officers/portraits/0260.png,resources/officers/fullbody/0260.png
0261,"내민","laimin",resources/officers/portraits/0261.png,resources/officers/fullbody/0261.png
0262,"윤묵","yinmo",resources/officers/portraits/0262.png,resources/officers/fullbody/0262.png
0263,"진밀","qinmi",resources/officers/portraits/0263.png,resources/officers/fullbody/0263.png
0264,"곽준","huojun",resources/officers/portraits/0264.png,resources/officers/fullbody/0264.png
0265,"곽익","huoyi",resources/officers/portraits/0265.png,resources/officers/fullbody/0265.png
0266,"장송","zhangsong",resources/officers/portraits/0266.png,resources/officers/fullbody/0266.png
0267,"엄안","yanyan",resources/officers/portraits/0267.png,resources/officers/fullbody/0267.png
0268,"장임","zhangren",resources/officers/portraits/0268.png,resources/officers/fullbody/0268.png
0269,"오란","wulan",resources/officers/portraits/0269.png,resources/officers/fullbody/0269.png
0270,"뇌동","leitong",resources/officers/portraits/0270.png,resources/officers/fullbody/0270.png
0271,"냉포","lengbao",resources/officers/portraits/0271.png,resources/officers/fullbody/0271.png
0272,"등현","dengxian",resources/officers/portraits/0272.png,resources/officers/fullbody/0272.png
0273,"유괴","liugui",resources/officers/portraits/0273.png,resources/officers/fullbody/0273.png
0274,"조예","caorui",resources/officers/portraits/0274.png,resources/officers/fullbody/0274.png
0275,"조방","caofang",resources/officers/portraits/0275.png,resources/officers/fullbody/0275.png
0276,"조모","caomao",resources/officers/portraits/0276.png,resources/officers/fullbody/0276.png
0277,"조환","caohuan",resources/officers/portraits/0277.png,resources/officers/fullbody/0277.png
0278,"조식","caozhi",resources/officers/portraits/0278.png,resources/officers/fullbody/0278.png
0279,"조충","caochong",resources/officers/portraits/0279.png,resources/officers/fullbody/0279.png
0280,"조상","caoshuang",resources/officers/portraits/0280.png,resources/officers/fullbody/0280.png
0281,"하후무","xiahoumao",resources/officers/portraits/0281.png,resources/officers/fullbody/0281.png
0282,"하후위","xiahouwei",resources/officers/portraits/0282.png,resources/officers/fullbody/0282.png
0283,"하후화","xiahouhe",resources/officers/portraits/0283.png,resources/officers/fullbody/0283.png
0284,"하후현","xiahouxuan",resources/officers/portraits/0284.png,resources/officers/fullbody/0284.png
0285,"왕쌍","wangshuang",resources/officers/portraits/0285.png,resources/officers/fullbody/0285.png
0286,"주령","zhuling",resources/officers/portraits/0286.png,resources/officers/fullbody/0286.png
0287,"한호","hanhao",resources/officers/portraits/0287.png,resources/officers/fullbody/0287.png
0288,"사환","shihuan",resources/officers/portraits/0288.png,resources/officers/fullbody/0288.png
0289,"우금","niujin",resources/officers/portraits/0289.png,resources/officers/fullbody/0289.png
0290,"여건","luqian",resources/officers/portraits/0290.png,resources/officers/fullbody/0290.png
0291,"유복","liufu",resources/officers/portraits/0291.png,resources/officers/fullbody/0291.png
0292,"가규","jiakui",resources/officers/portraits/0292.png,resources/officers/fullbody/0292.png
0293,"진태","chentai",resources/officers/portraits/0293.png,resources/officers/fullbody/0293.png
0294,"왕기","wangji_wei",resources/officers/portraits/0294.png,resources/officers/fullbody/0294.png
0295,"왕릉","wangling",resources/officers/portraits/0295.png,resources/officers/fullbody/0295.png
0296,"호준","huzun",resources/officers/portraits/0296.png,resources/officers/fullbody/0296.png
0297,"호열","hulie",resources/officers/portraits/0297.png,resources/officers/fullbody/0297.png
0298,"하안","heyan",resources/officers/portraits/0298.png,resources/officers/fullbody/0298.png
0299,"등양","dengyang",resources/officers/portraits/0299.png,resources/officers/fullbody/0299.png
0300,"환범","huanfan",resources/officers/portraits/0300.png,resources/officers/fullbody/0300.png
0301,"신비","xinpi",resources/officers/portraits/0301.png,resources/officers/fullbody/0301.png
0302,"두기","duji",resources/officers/portraits/0302.png,resources/officers/fullbody/0302.png
0303,"진교","chenjiao",resources/officers/portraits/0303.png,resources/officers/fullbody/0303.png
0304,"오질","wuzhi",resources/officers/portraits/0304.png,resources/officers/fullbody/0304.png
0305,"손익","sunyi",resources/officers/portraits/0305.png,resources/officers/fullbody/0305.png
0306,"손광","sunkuang",resources/officers/portraits/0306.png,resources/officers/fullbody/0306.png
0307,"손분","sunben",resources/officers/portraits/0307.png,resources/officers/fullbody/0307.png
0308,"손보","sunfu",resources/officers/portraits/0308.png,resources/officers/fullbody/0308.png
0309,"손정","sunjing",resources/officers/portraits/0309.png,resources/officers/fullbody/0309.png
0310,"오경","wujing",resources/officers/portraits/0310.png,resources/officers/fullbody/0310.png
0311,"주치","zhuzhi",resources/officers/portraits/0311.png,resources/officers/fullbody/0311.png
0312,"여대","ludai",resources/officers/portraits/0312.png,resources/officers/fullbody/0312.png
0313,"반준","panjun",resources/officers/portraits/0313.png,resources/officers/fullbody/0313.png
0314,"제갈각","zhugeke",resources/officers/portraits/0314.png,resources/officers/fullbody/0314.png
0315,"제갈융","zhugerong",resources/officers/portraits/0315.png,resources/officers/fullbody/0315.png
0316,"육항","lukang",resources/officers/portraits/0316.png,resources/officers/fullbody/0316.png
0317,"손등","sundeng",resources/officers/portraits/0317.png,resources/officers/fullbody/0317.png
0318,"손환","sunhuan",resources/officers/portraits/0318.png,resources/officers/fullbody/0318.png
0319,"손소","sunshao",resources/officers/portraits/0319.png,resources/officers/fullbody/0319.png
